Initializing SD card...
Card initialized.
Waiting for key...
Key received. Dumping file...
Timestamp,Sensor,BME_Temperature,BME_Pressure,BME_Humidity,BME_Gas_Resistance,BME_Altitude,ENS_AQI,ENS_TVOC,ENS_eCO2,ENS_HP0,ENS_HP1,ENS_HP2,ENS_HP3,LSM_Accel_X,LSM_Accel_Y,LSM_Accel_Z,LSM_Gyro_X,LSM_Gyro_Y,LSM_Gyro_Z,MPL_Pressure,MPL_Altitude,BNO_Accel_X,BNO_Accel_Y,BNO_Accel_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z,BNO_Gyro_X,BNO_Gyro_Y,BNO_Gyro_Z,BNO_Euler_Heading,BNO_Euler_Roll,BNO_Euler_Pitch,BNO_Linear_Accel_X,BNO_Linear_Accel_Y,BNO_Linear_Accel_Z,BNO_Gravity_X,BNO_Gravity_Y,BNO_Gravity_Z,BNO_Calibration_System,BNO_Calibration_Gyro,BNO_Calibration_Accel,BNO_Calibration_Mag1398,FRANC,,,,,,,,,,,,,-0.20,-0.30,-9.69,-0.21,-0.73,-0.34,991.19,185.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
1921,FRANC,,,,,,,,,,,,,-0.13,-0.40,-9.77,0.01,-0.01,-0.05,991.54,184.19,-0.76,-1.37,-9.61,20.06,-13.56,33.25,0.00,-0.00,0.00,172.19,238.94,-4.38,-0.01,-0.05,0.07,-0.74,-1.32,-9.68,0,0,0,0
1931,FRANC,,,,,,,,,,,,,-0.19,-0.58,-9.83,-0.03,0.02,-0.03,,,-0.83,-1.30,-9.57,19.69,-12.88,33.56,-0.00,0.00,-0.00,172.19,238.94,-4.38,0.08,-0.05,0.10,-0.75,-1.32,-9.68,0,0,0,0
1969,FRANC,,,,,,,,,,,,,-0.29,-0.34,-9.80,0.02,0.01,-0.03,991.58,183.31,-0.66,-1.37,-9.58,19.69,-12.88,33.56,-0.00,0.00,-0.00,172.19,238.94,-4.38,0.07,-0.02,-0.01,-0.75,-1.32,-9.68,0,0,0,0
1980,FRANC,,,,,,,,,,,,,-0.29,-0.20,-9.54,0.02,0.03,0.01,,,-0.79,-1.29,-9.55,20.06,-12.56,33.56,-0.00,0.00,0.00,172.19,238.94,-4.38,0.01,0.04,0.04,-0.75,-1.32,-9.68,0,0,0,0
2019,FRANC,,,,,,,,,,,,,-0.12,-0.36,-9.80,-0.03,-0.01,-0.02,991.35,182.50,-0.73,-1.28,-9.64,20.06,-12.56,33.56,-0.00,0.00,0.00,172.19,238.94,-4.38,0.07,-0.01,0.01,-0.75,-1.32,-9.68,0,0,0,0
2030,FRANC,,,,,,,,,,,,,-0.18,-0.30,-9.94,-0.06,-0.07,-0.05,,,-0.87,-1.28,-9.58,20.06,-13.25,33.56,0.00,-0.01,0.00,172.19,238.94,-4.38,-0.03,-0.01,0.05,-0.75,-1.32,-9.68,0,0,0,0
2073,FRANC,,,,,,,,,,,,,-0.03,-0.11,-9.87,-0.03,-0.02,-0.02,991.22,183.88,-0.75,-1.34,-9.63,20.06,-13.25,33.56,0.00,0.00,-0.00,172.19,238.94,-4.38,0.00,-0.02,0.04,-0.75,-1.32,-9.68,0,0,0,0
2083,FRANC,,,,,,,,,,,,,-0.13,-0.31,-9.82,0.00,0.03,-0.05,,,-0.76,-1.30,-9.61,18.56,-13.56,33.56,0.00,-0.01,0.00,172.19,238.94,-4.38,0.00,0.02,0.07,-0.75,-1.32,-9.68,0,0,0,0
2122,FRANC,,,,,,,,,,,,,-0.25,-0.37,-9.91,-0.00,0.00,0.00,991.49,181.94,-0.73,-1.31,-9.62,18.56,-13.56,33.56,0.00,-0.00,0.00,172.19,238.94,-4.38,0.01,0.01,0.06,-0.75,-1.32,-9.68,0,0,0,0
2132,FRANC,,,,,,,,,,,,,-0.16,-0.25,-9.71,0.05,0.05,-0.02,,,-0.74,-1.36,-9.56,20.38,-13.88,34.25,0.00,0.00,0.00,172.19,238.94,-4.38,-0.03,0.00,0.06,-0.75,-1.32,-9.68,0,0,0,0
2173,FRANC,,,,,,,,,,,,,-0.31,-0.58,-9.89,-0.02,-0.02,-0.02,991.19,183.19,-0.79,-1.32,-9.61,20.38,-13.88,34.25,-0.00,-0.00,-0.00,172.19,238.94,-4.38,-0.04,0.00,0.07,-0.75,-1.32,-9.68,0,0,0,0
2182,FRANC,,,,,,,,,,,,,-0.28,-0.46,-9.91,0.02,-0.00,0.01,,,-0.66,-1.33,-9.65,18.56,-12.19,35.06,0.00,-0.01,0.00,172.19,238.94,-4.38,0.00,-0.01,0.05,-0.75,-1.32,-9.68,0,0,0,0
2223,FRANC,,,,,,,,,,,,,0.19,-0.35,-8.98,0.03,0.01,-0.03,991.58,184.50,-0.82,-1.33,-9.59,18.56,-12.19,35.06,-0.00,-0.01,0.00,172.19,238.94,-4.38,-0.07,-0.01,0.09,-0.75,-1.32,-9.68,0,0,0,0
2233,FRANC,,,,,,,,,,,,,0.03,-0.80,-9.36,0.05,-0.02,0.00,,,-0.63,-1.30,-9.64,19.25,-13.88,33.25,-0.00,0.00,-0.00,172.19,238.94,-4.38,0.12,-0.04,0.03,-0.75,-1.32,-9.68,0,3,0,0
2274,FRANC,,,,,,,,,,,,,0.15,-0.26,-9.62,-0.04,0.02,-0.05,991.04,183.62,-0.79,-1.37,-9.65,19.25,-13.88,33.25,-0.00,0.00,0.00,172.19,238.94,-4.38,-0.03,-0.04,0.03,-0.75,-1.32,-9.68,0,3,0,0
2283,FRANC,,,,,,,,,,,,,-0.58,-0.31,-9.76,-0.05,0.01,0.01,,,-0.57,-1.22,-9.73,19.69,-12.88,32.88,-0.00,0.01,0.00,172.19,238.94,-4.38,0.17,0.10,-0.04,-0.75,-1.32,-9.68,0,3,0,0
2323,FRANC,,,,,,,,,,,,,-0.15,-0.29,-9.98,-0.03,0.02,-0.05,991.24,184.38,-0.65,-1.21,-9.62,19.69,-12.88,32.88,0.00,-0.00,0.00,172.19,238.94,-4.38,0.09,0.11,0.05,-0.75,-1.32,-9.68,0,3,0,0
2333,FRANC,,,,,,,,,,,,,-0.64,-0.55,-9.73,-0.03,-0.02,-0.01,,,-0.78,-1.14,-9.58,20.06,-13.56,32.88,0.00,0.00,-0.00,172.19,238.94,-4.38,0.14,-0.02,-0.02,-0.75,-1.32,-9.68,0,3,0,0
2373,FRANC,,,,,,,,,,,,,0.07,-0.33,-9.97,0.07,0.03,-0.02,991.36,186.56,-0.47,-1.52,-9.57,20.06,-13.56,32.88,-0.00,0.01,0.00,172.19,238.94,-4.38,0.27,-0.20,0.11,-0.74,-1.32,-9.68,0,3,0,0
2417,FRANC,,,,,,1,24,400,401010.00,1.00,1060711.00,103668.00,0.09,-0.25,-9.71,0.02,0.00,-0.07,991.22,183.50,-0.96,-1.34,-9.59,19.69,-13.88,33.88,-0.00,0.01,0.00,172.19,238.94,-4.38,-0.21,-0.01,0.09,-0.75,-1.32,-9.68,0,3,0,0
2456,FRANC,,,,,,,,,,,,,-0.19,-0.41,-9.54,0.03,-0.00,-0.05,991.14,184.50,-0.81,-1.25,-9.68,18.88,-13.25,34.25,-0.00,-0.01,0.00,172.19,238.94,-4.38,-0.09,0.04,0.11,-0.75,-1.32,-9.68,0,3,0,0
2468,FRANC,,,,,,,,,,,,,-0.19,-0.51,-9.55,-0.09,-0.01,-0.05,,,-0.63,-1.33,-9.68,19.69,-12.88,33.25,-0.00,0.00,0.00,172.19,238.94,-4.38,0.11,0.00,0.00,-0.75,-1.32,-9.68,0,3,0,0
2506,FRANC,,,,,,,,,,,,,-0.11,-0.45,-9.83,0.02,-0.01,-0.04,991.16,185.94,-0.63,-1.33,-9.69,19.69,-12.88,33.25,0.00,-0.00,0.00,172.19,238.94,-4.38,0.05,0.05,0.08,-0.75,-1.32,-9.68,0,3,0,0
2517,FRANC,,,,,,,,,,,,,-0.07,-0.44,-9.77,0.01,0.01,-0.03,,,-0.65,-1.29,-9.65,19.69,-13.25,33.88,-0.00,0.00,-0.00,172.19,238.94,-4.38,0.09,0.02,0.03,-0.75,-1.32,-9.68,0,3,0,0
2557,FRANC,,,,,,,,,,,,,-0.29,-0.39,-9.69,-0.01,-0.04,0.00,991.15,185.56,-0.62,-1.33,-9.63,19.69,-13.25,33.88,-0.00,-0.00,0.00,172.19,238.94,-4.38,-0.03,-0.01,0.02,-0.75,-1.32,-9.68,0,3,0,0
2568,FRANC,,,,,,,,,,,,,-0.05,-0.46,-9.82,-0.00,-0.03,0.02,,,-0.80,-1.37,-9.61,18.88,-13.25,33.25,0.00,0.00,0.00,172.19,238.94,-4.38,-0.06,-0.05,0.03,-0.75,-1.32,-9.68,0,3,0,0
2607,FRANC,,,,,,,,,,,,,-0.02,-0.34,-9.64,0.04,-0.02,-0.05,991.42,180.62,-0.81,-1.38,-9.64,18.88,-13.25,33.25,0.00,0.00,-0.00,172.19,238.94,-4.38,-0.07,-0.06,0.07,-0.75,-1.32,-9.68,0,3,0,0
2618,FRANC,,,,,,,,,,,,,-0.11,-0.21,-9.90,0.08,-0.07,-0.06,,,-0.77,-1.34,-9.65,19.69,-12.88,33.56,0.00,-0.00,0.00,172.19,238.94,-4.38,0.01,-0.01,0.09,-0.75,-1.32,-9.68,0,3,0,0
2661,FRANC,,,,,,,,,,,,,-0.21,-0.36,-9.83,0.03,0.01,-0.02,991.29,183.75,-0.69,-1.37,-9.64,19.69,-12.88,33.56,0.00,0.00,0.00,172.19,238.94,-4.38,0.05,-0.04,0.04,-0.75,-1.32,-9.68,0,3,0,0
2671,FRANC,,,,,,,,,,,,,-0.22,-0.16,-9.68,-0.02,-0.04,-0.02,,,-0.71,-1.27,-9.61,20.75,-11.75,33.56,-0.00,0.00,0.00,172.19,238.94,-4.38,0.03,0.06,0.05,-0.75,-1.32,-9.68,0,3,0,0
2710,FRANC,,,,,,,,,,,,,-0.43,-0.24,-9.85,-0.03,-0.02,-0.02,991.36,185.06,-0.75,-1.26,-9.67,20.75,-11.75,33.56,-0.01,0.00,0.00,172.19,238.94,-4.38,0.00,0.05,0.01,-0.75,-1.32,-9.68,0,3,0,0
2720,FRANC,,,,,,,,,,,,,-0.29,-0.35,-9.64,-0.01,-0.02,0.05,,,-0.74,-1.35,-9.60,18.56,-12.88,34.25,-0.00,0.00,0.00,172.19,238.94,-4.38,0.03,-0.01,0.06,-0.75,-1.32,-9.68,0,3,0,0
2760,FRANC,,,,,,,,,,,,,-0.17,-0.39,-9.74,0.05,0.02,-0.06,991.32,184.56,-0.69,-1.35,-9.62,18.56,-12.88,34.25,-0.00,0.00,-0.00,172.19,238.94,-4.38,0.05,-0.03,0.06,-0.75,-1.32,-9.68,0,3,0,0
2770,FRANC,,,,,,,,,,,,,-0.25,-0.32,-9.75,-0.01,0.03,-0.06,,,-0.80,-1.27,-9.62,18.88,-13.25,33.88,0.00,-0.00,0.00,172.19,238.94,-4.38,-0.05,-0.01,0.08,-0.75,-1.32,-9.68,0,3,0,0
2810,FRANC,,,,,,,,,,,,,0.05,-0.52,-9.76,-0.01,0.02,-0.01,991.21,188.00,-0.81,-1.36,-9.63,18.88,-13.25,33.88,-0.00,0.00,0.00,172.19,238.94,-4.38,-0.06,-0.03,0.05,-0.75,-1.32,-9.68,0,3,0,0
2821,FRANC,,,,,,,,,,,,,-0.40,-0.52,-9.80,-0.02,-0.05,0.00,,,-0.78,-1.34,-9.58,19.25,-12.56,33.56,0.00,-0.00,0.00,172.19,238.94,-4.38,-0.05,0.00,0.06,-0.75,-1.32,-9.68,0,3,0,0
2859,FRANC,,,,,,,,,,,,,-0.22,-0.13,-9.77,-0.02,0.01,-0.04,991.05,183.81,-0.82,-1.33,-9.64,19.25,-12.56,33.56,0.00,0.00,0.00,172.19,238.94,-4.38,-0.07,0.00,0.03,-0.75,-1.32,-9.68,0,3,0,0
2870,FRANC,,,,,,,,,,,,,-0.03,-0.28,-9.63,0.01,-0.04,0.00,,,-0.73,-1.33,-9.61,20.06,-13.25,34.25,-0.00,-0.00,-0.00,172.19,238.94,-4.38,0.01,0.00,0.09,-0.75,-1.32,-9.68,0,3,0,0
2909,FRANC,,,,,,,,,,,,,0.00,-0.24,-9.73,0.04,0.03,-0.04,991.41,183.44,-0.70,-1.31,-9.64,20.06,-13.25,34.25,0.00,0.00,0.00,172.19,238.94,-4.38,0.04,0.01,0.04,-0.75,-1.32,-9.68,0,3,0,0
2920,FRANC,,,,,,,,,,,,,-0.31,-0.48,-9.65,0.04,0.03,0.01,,,-0.64,-1.32,-9.59,19.25,-12.88,34.00,0.00,0.00,-0.00,172.19,238.94,-4.38,0.04,-0.02,0.08,-0.75,-1.32,-9.68,0,3,0,0
2959,FRANC,,,,,,,,,,,,,-0.24,-0.31,-9.66,-0.00,0.03,-0.02,991.40,186.19,-0.79,-1.34,-9.65,19.25,-12.88,34.00,0.00,0.00,0.00,172.19,238.94,-4.38,-0.04,-0.01,0.03,-0.75,-1.32,-9.68,0,3,0,0
2969,FRANC,,,,,,,,,,,,,-0.33,-0.35,-9.63,-0.03,-0.02,-0.02,,,-0.77,-1.32,-9.61,18.56,-13.25,33.25,0.00,0.00,-0.00,172.19,238.94,-4.38,-0.02,0.02,0.05,-0.75,-1.32,-9.68,0,3,0,0
3008,FRANC,,,,,,,,,,,,,-0.45,-0.26,-9.63,-0.03,-0.00,-0.06,991.07,187.81,-0.78,-1.30,-9.63,18.56,-13.25,33.25,0.00,0.00,0.00,172.19,238.94,-4.38,-0.05,0.03,0.03,-0.75,-1.32,-9.68,0,3,0,0
3022,FRANC,,,,,,,,,,,,,-0.28,-0.14,-9.70,-0.00,-0.00,0.01,,,-0.71,-1.31,-9.45,20.06,-13.25,34.69,0.01,0.00,-0.00,172.19,238.94,-4.38,0.27,-0.15,0.11,-0.75,-1.32,-9.68,0,3,0,0
3058,FRANC,,,,,,,,,,,,,-0.23,-0.16,-9.67,0.04,0.02,-0.02,991.54,183.50,-0.47,-1.48,-9.57,20.06,-13.25,34.69,-0.00,0.00,-0.00,172.19,238.94,-4.38,0.14,-0.11,0.00,-0.75,-1.32,-9.68,0,3,0,0
3069,FRANC,,,,,,,,,,,,,-0.04,-0.09,-9.94,-0.00,-0.04,-0.01,,,-0.92,-1.16,-9.62,19.25,-13.88,33.88,0.00,-0.01,0.00,172.19,238.94,-4.38,0.01,0.10,0.14,-0.75,-1.32,-9.68,0,3,0,0
3108,FRANC,,,,,,,,,,,,,0.04,-0.57,-9.78,0.02,0.03,-0.05,991.38,180.88,-0.63,-1.47,-9.60,19.25,-13.88,33.88,-0.00,0.00,-0.00,172.19,238.94,-4.38,0.12,-0.15,0.08,-0.75,-1.32,-9.68,0,3,0,0
3119,FRANC,,,,,,,,,,,,,-0.03,-0.52,-9.91,-0.01,0.02,-0.07,,,-0.91,-1.27,-9.60,20.06,-13.25,34.69,-0.00,-0.00,0.00,172.19,238.94,-4.38,-0.11,0.00,0.11,-0.75,-1.32,-9.68,0,3,0,0
3159,FRANC,,,,,,,,,,,,,-0.13,-0.29,-9.54,-0.00,-0.00,0.02,991.35,185.44,-0.79,-1.37,-9.63,20.06,-13.25,34.69,0.00,-0.00,0.00,172.19,238.94,-4.38,-0.04,-0.04,0.04,-0.75,-1.32,-9.68,0,3,0,0
3169,FRANC,,,,,,,,,,,,,-0.03,-0.27,-9.55,-0.06,-0.04,-0.05,,,-0.79,-1.33,-9.63,19.69,-12.56,32.50,-0.00,0.00,-0.00,172.19,238.94,-4.38,-0.18,0.00,0.05,-0.75,-1.32,-9.68,0,3,0,0
3207,FRANC,,,,,,,,,,,,,-0.31,-0.17,-9.72,-0.03,0.02,-0.07,991.28,181.50,-0.93,-1.33,-9.63,19.69,-12.56,32.50,0.00,0.00,-0.00,172.19,238.94,-4.38,-0.19,0.04,0.09,-0.75,-1.32,-9.68,0,3,0,0
3219,FRANC,,,,,,,,,,,,,-0.20,-0.37,-9.59,0.00,-0.00,-0.04,,,-0.60,-1.33,-9.61,20.06,-12.56,33.25,-0.00,0.01,-0.00,172.19,238.94,-4.38,0.07,-0.02,0.01,-0.75,-1.32,-9.68,0,3,0,0
