Initializing SD card...
Card initialized.
Waiting for key...
Key received. Dumping file...
Timestamp,Sensor,BME_Temperature,BME_Pressure,BME_Humidity,BME_Gas_Resistance,BME_Altitude,ENS_AQI,ENS_TVOC,ENS_eCO2,ENS_HP0,ENS_HP1,ENS_HP2,ENS_HP3,LSM_Accel_X,LSM_Accel_Y,LSM_Accel_Z,LSM_Gyro_X,LSM_Gyro_Y,LSM_Gyro_Z,MPL_Pressure,MPL_Altitude,BNO_Accel_X,BNO_Accel_Y,BNO_Accel_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z,BNO_Gyro_X,BNO_Gyro_Y,BNO_Gyro_Z,BNO_Euler_Heading,BNO_Euler_Roll,BNO_Euler_Pitch,BNO_Linear_Accel_X,BNO_Linear_Accel_Y,BNO_Linear_Accel_Z,BNO_Gravity_X,BNO_Gravity_Y,BNO_Gravity_Z,BNO_Calibration_System,BNO_Calibration_Gyro,BNO_Calibration_Accel,BNO_Calibration_Mag1581,FRANC,,,,,,,,,,,,,-7.45,0.26,6.26,0.05,-0.38,-2.83,982.38,262.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
2111,FRANC,,,,,,,,,,,,,-7.38,0.32,6.36,0.04,0.04,0.01,,,0.54,8.40,4.65,-27.38,-51.25,-28.88,-0.00,-0.00,0.00,-60.94,359.94,3.31,-0.02,-0.12,-0.12,0.57,8.55,4.75,0,0,0,0
2147,FRANC,,,,,,,,,,,,,-7.42,0.04,6.35,-0.05,0.01,-0.12,982.43,259.25,0.54,8.43,4.63,-27.38,-51.25,-28.88,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.03,-0.12,-0.11,0.57,8.55,4.75,0,0,0,0
2186,FRANC,,,,,,,,,,,,,-7.54,0.06,6.20,0.01,-0.02,-0.05,982.66,259.38,0.53,8.46,4.61,-29.19,-51.25,-30.00,0.01,-0.00,0.00,-60.94,359.94,3.31,-0.06,-0.08,-0.10,0.57,8.56,4.74,0,0,0,0
2197,FRANC,,,,,,,,,,,,,-7.12,0.08,6.20,0.05,-0.02,-0.04,,,0.55,8.47,4.61,-28.50,-51.56,-28.88,-0.01,-0.00,0.00,-60.94,359.94,3.31,-0.01,-0.09,-0.13,0.57,8.56,4.74,0,0,0,0
2236,FRANC,,,,,,,,,,,,,-7.41,0.27,6.39,-0.03,0.04,-0.05,982.58,261.75,0.52,8.46,4.63,-28.50,-51.56,-28.88,-0.01,0.00,0.00,-60.94,359.94,3.31,-0.04,-0.12,-0.11,0.56,8.56,4.74,0,0,0,0
2248,FRANC,,,,,,,,,,,,,-7.41,0.14,6.28,-0.02,-0.02,-0.03,,,0.52,8.44,4.63,-27.38,-50.19,-29.25,-0.00,0.00,0.00,-60.94,359.94,3.31,-0.04,-0.11,-0.10,0.56,8.56,4.74,0,0,0,0
2289,FRANC,,,,,,,,,,,,,-7.49,0.16,6.51,0.00,-0.02,0.01,982.32,261.38,0.53,8.44,4.63,-27.38,-50.19,-29.25,0.00,-0.00,-0.00,-60.94,359.94,3.31,-0.03,-0.11,-0.11,0.56,8.56,4.74,0,0,0,0
2300,FRANC,,,,,,,,,,,,,-7.29,0.07,6.51,-0.02,0.02,-0.01,,,0.53,8.41,4.64,-29.56,-51.25,-28.88,-0.00,-0.00,0.00,-60.94,359.94,3.31,-0.03,-0.13,-0.10,0.56,8.56,4.74,0,0,0,0
2339,FRANC,,,,,,,,,,,,,-7.46,0.19,6.30,-0.02,0.03,-0.14,982.32,258.50,0.52,8.45,4.67,-29.56,-51.25,-28.88,-0.00,0.00,0.00,-60.94,359.94,3.31,-0.04,-0.10,-0.07,0.56,8.56,4.74,0,0,0,0
2350,FRANC,,,,,,,,,,,,,-7.50,0.28,6.27,-0.09,-0.03,-0.10,,,0.57,8.42,4.63,-28.06,-50.88,-29.25,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.03,-0.10,-0.10,0.56,8.56,4.74,0,0,0,0
2387,FRANC,,,,,,,,,,,,,-7.42,0.05,6.33,-0.02,0.03,-0.05,982.47,260.81,0.53,8.45,4.63,-28.06,-50.88,-29.25,0.01,-0.00,-0.00,-60.94,359.94,3.31,-0.01,-0.15,-0.12,0.56,8.56,4.74,0,0,0,0
2399,FRANC,,,,,,,,,,,,,-7.26,0.13,6.30,0.02,-0.04,-0.07,,,0.52,8.44,4.63,-28.06,-52.00,-28.06,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.01,-0.07,-0.10,0.56,8.56,4.74,0,0,0,0
2438,FRANC,,,,,,,,,,,,,-7.31,0.12,6.41,0.05,-0.02,0.01,982.26,260.56,0.55,8.48,4.64,-28.06,-52.00,-28.06,-0.00,-0.00,0.00,-60.94,359.94,3.31,-0.04,-0.11,-0.14,0.56,8.56,4.74,0,0,0,0
2449,FRANC,,,,,,,,,,,,,-7.37,0.28,6.31,0.03,-0.01,0.01,,,0.53,8.43,4.65,-28.75,-50.56,-29.56,-0.00,-0.00,0.00,-60.94,359.94,3.31,-0.04,-0.11,-0.09,0.56,8.56,4.74,0,0,0,0
2488,FRANC,,,,,,,,,,,,,-7.45,0.31,6.28,0.02,-0.01,-0.03,982.32,260.31,0.53,8.44,4.66,-28.75,-50.56,-29.56,-0.00,0.00,0.00,-60.94,359.94,3.31,-0.03,-0.11,-0.07,0.56,8.56,4.74,0,0,0,0
2499,FRANC,,,,,,,,,,,,,-7.26,0.16,6.41,-0.06,-0.02,-0.05,,,0.53,8.45,4.68,-28.06,-50.88,-30.00,0.00,0.00,0.00,-60.94,359.94,3.31,-0.03,-0.07,-0.08,0.56,8.56,4.74,0,0,0,0
2548,FRANC,,,,,,,,,,,,,-7.32,0.34,6.54,0.00,0.01,-0.01,982.09,259.25,0.52,8.46,4.64,-28.06,-50.88,-30.00,-0.00,0.00,0.00,-60.94,359.94,3.31,-0.04,-0.10,-0.10,0.56,8.56,4.74,0,0,0,0
2591,FRANC,,,,,,1,24,400,193570.00,1.00,596851.00,77305.00,-7.27,0.14,6.22,-0.03,0.02,-0.05,982.54,262.50,0.55,8.44,4.63,-27.38,-50.56,-28.50,-0.00,-0.00,-0.00,-60.94,359.94,3.31,-0.03,-0.11,-0.09,0.56,8.56,4.74,0,0,0,0
2632,FRANC,,,,,,,,,,,,,-7.57,0.19,6.36,0.00,-0.02,-0.05,982.32,258.81,0.53,8.45,4.62,-27.75,-51.25,-27.69,-0.00,0.00,0.00,-60.94,359.94,3.31,-0.03,-0.10,-0.12,0.56,8.56,4.74,0,0,0,0
2641,FRANC,,,,,,,,,,,,,-7.44,0.09,6.27,0.01,0.01,-0.03,,,0.54,8.44,4.64,-27.38,-51.25,-28.38,-0.00,0.00,-0.00,-60.94,359.94,3.31,-0.03,-0.07,-0.09,0.56,8.56,4.74,0,0,0,0
2682,FRANC,,,,,,,,,,,,,-7.45,0.05,6.19,-0.02,-0.06,-0.04,982.30,261.06,0.54,8.43,4.63,-27.38,-51.25,-28.38,0.00,-0.01,0.00,-60.94,359.94,3.31,-0.02,-0.12,-0.11,0.56,8.56,4.74,0,0,0,0
2692,FRANC,,,,,,,,,,,,,-7.46,0.20,6.43,0.03,0.02,-0.02,,,0.54,8.43,4.63,-26.69,-51.56,-28.88,-0.00,0.00,-0.00,-60.94,359.94,3.31,-0.02,-0.12,-0.11,0.56,8.56,4.74,0,0,0,0
2732,FRANC,,,,,,,,,,,,,-7.33,0.11,6.31,-0.03,0.01,0.00,982.76,261.88,0.55,8.45,4.65,-26.69,-51.56,-28.88,-0.00,0.00,0.00,-60.94,359.94,3.31,-0.01,-0.11,-0.09,0.56,8.56,4.74,0,0,0,0
2742,FRANC,,,,,,,,,,,,,-7.51,-0.03,6.27,0.02,-0.02,-0.08,,,0.54,8.43,4.65,-27.38,-51.56,-28.88,0.00,-0.00,0.00,-60.94,359.94,3.31,-0.01,-0.12,-0.07,0.56,8.56,4.74,0,0,0,0
2783,FRANC,,,,,,,,,,,,,-7.31,0.11,6.37,0.05,0.01,-0.04,982.18,259.94,0.52,8.44,4.63,-27.38,-51.56,-28.88,0.00,-0.00,0.00,-60.94,359.94,3.31,-0.02,-0.11,-0.09,0.56,8.56,4.74,0,0,0,0
2794,FRANC,,,,,,,,,,,,,-7.35,0.24,6.26,-0.02,-0.02,-0.07,,,0.53,8.44,4.64,-27.75,-50.56,-29.25,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.03,-0.11,-0.09,0.56,8.56,4.74,0,0,0,0
2834,FRANC,,,,,,,,,,,,,-7.25,0.08,6.27,0.05,-0.08,0.00,982.36,259.88,0.53,8.45,4.62,-27.75,-50.56,-29.25,0.00,-0.00,0.00,-60.94,359.94,3.31,-0.01,-0.10,-0.10,0.56,8.56,4.74,0,0,0,0
2846,FRANC,,,,,,,,,,,,,-7.51,0.08,6.22,0.06,0.02,-0.06,,,0.56,8.57,4.72,-27.38,-51.56,-29.25,-0.00,0.00,0.00,-60.94,359.94,3.31,0.00,0.01,-0.01,0.56,8.56,4.74,0,0,1,0
2888,FRANC,,,,,,,,,,,,,-7.39,0.05,6.42,-0.02,-0.02,-0.02,982.42,259.12,0.54,8.55,4.71,-27.38,-51.56,-29.25,-0.01,-0.00,0.00,-60.94,359.94,3.31,-0.02,0.00,-0.02,0.56,8.56,4.74,0,0,1,0
2898,FRANC,,,,,,,,,,,,,-7.56,0.29,6.24,-0.01,-0.02,0.00,,,0.55,8.54,4.72,-27.75,-52.00,-28.06,0.00,-0.00,0.00,-60.94,359.94,3.31,0.00,-0.02,-0.03,0.56,8.56,4.74,0,0,1,0
2937,FRANC,,,,,,,,,,,,,-7.30,0.22,6.40,0.02,-0.01,-0.02,982.22,258.06,0.56,8.53,4.70,-27.75,-52.00,-28.06,0.00,-0.00,-0.00,-60.94,359.94,3.31,-0.02,0.00,-0.01,0.56,8.56,4.74,0,0,1,0
2948,FRANC,,,,,,,,,,,,,-7.59,0.19,6.14,0.03,0.05,-0.07,,,0.53,8.55,4.71,-29.19,-50.56,-29.56,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.02,-0.01,-0.03,0.56,8.56,4.74,0,3,1,0
2988,FRANC,,,,,,,,,,,,,-7.58,0.08,6.33,-0.01,-0.01,-0.09,982.03,260.31,0.52,8.56,4.74,-29.19,-50.56,-29.56,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.04,0.00,0.00,0.56,8.56,4.74,0,3,1,0
2998,FRANC,,,,,,,,,,,,,-7.54,0.18,6.29,-0.03,-0.02,-0.02,,,0.55,8.56,4.73,-26.69,-51.25,-28.06,0.01,0.00,-0.00,-60.94,359.94,3.31,0.00,0.02,-0.03,0.56,8.56,4.74,0,3,1,0
3038,FRANC,,,,,,,,,,,,,-7.35,0.15,6.54,-0.05,-0.02,-0.01,982.36,263.94,0.54,8.60,4.70,-26.69,-51.25,-28.06,0.00,-0.00,-0.00,-60.94,359.94,3.31,-0.02,0.04,-0.04,0.56,8.56,4.74,0,3,1,0
3048,FRANC,,,,,,,,,,,,,-7.28,0.20,6.52,-0.03,-0.03,-0.01,,,0.55,8.56,4.71,-28.06,-51.56,-29.25,-0.00,-0.00,0.00,-60.94,359.94,3.31,-0.02,0.00,-0.03,0.56,8.56,4.74,0,3,1,0
3087,FRANC,,,,,,,,,,,,,-7.46,0.19,6.51,-0.03,-0.01,-0.04,982.19,257.38,0.54,8.55,4.71,-28.06,-51.56,-29.25,-0.01,0.00,0.00,-60.94,359.94,3.31,-0.01,0.00,-0.01,0.56,8.56,4.74,0,3,1,0
3098,FRANC,,,,,,,,,,,,,-7.62,0.20,6.09,0.00,0.03,0.00,,,0.53,8.53,4.73,-27.00,-50.88,-28.88,0.00,0.00,-0.00,-60.94,359.94,3.31,0.00,-0.01,-0.02,0.56,8.56,4.74,0,3,1,0
